名称,名称(英語),設置場所,住所,緯度,経度,AEDのタイプ,パッドのタイプ,シリアルナンバー,モデルナンバー,AEDの有効期限,画像URL
東海中学校,"",東海中学校,東京都品川区東品川3-30-15,35.612621,139.748971,"","","","","",""
東品川シルバーセンター,"",東品川シルバーセンター,東京都品川区東品川3-32-10,35.614193,139.750748,"","","","","",""
東品川文化センター,"",東品川文化センター,東京都品川区東品川3-32-10,35.614193,139.750748,"","","","","",""
品川南ふ頭公園管理事務所,"",品川南ふ頭公園管理事務所,東京都品川区東品川5-8-4,35.622006,139.754864,"","","","","",""
東中延児童センター,"",東中延児童センター,東京都品川区東中延2-5-10,35.607806,139.713807,"","","","","",""
荏原第三地域センター,"",荏原第三地域センター,東京都品川区平塚1-13-18,35.613392,139.715407,"","","","","",""
平塚児童センター,"",平塚児童センター,東京都品川区平塚2-2-3,35.618791,139.717409,"","","","","",""
平塚シルバーセンター,"",平塚シルバーセンター,東京都品川区平塚2-10-20,35.616914,139.713962,"","","","","",""
京陽小学校,"",京陽小学校,東京都品川区平塚2-19-20,35.615116,139.713079,"","","","","",""
荏原平塚学園,"",荏原平塚学園,東京都品川区平塚3-16-26,35.615325,139.710101,"","","","","",""
品川区役所,"",品川区役所,東京都品川区広町2-1-36,35.608837,139.730242,"","","","","",""
リサイクルショップリボン大井町店,"",リサイクルショップリボン大井町店,東京都品川区広町2-1-36,35.608837,139.730242,"","","","","",""
豊葉の杜学園,"",豊葉の杜学園,東京都品川区二葉1-1-2,35.6082,139.725727,"","","","","",""
荏原第五地域センター,"",荏原第五地域センター,東京都品川区二葉1-1-2,35.6082,139.725727,"","","","","",""
二葉つぼみ保育園,"",二葉つぼみ保育園,東京都品川区二葉1-3-24,35.606765,139.726345,"","","","","",""
二葉図書館,"",二葉図書館,東京都品川区二葉1-4-25,35.608023,139.726761,"","","","","",""
上神明小学校,"",上神明小学校,東京都品川区二葉4-4-10,35.602921,139.715751,"","","","","",""
南大井文化センター,"",南大井文化センター,東京都品川区南大井1-12-6,35.596306,139.737595,"","","","","",""
鈴ケ森中学校,"",鈴ケ森中学校,東京都品川区南大井2-3-14,35.593149,139.73778,"","","","","",""
南大井シルバーセンター,"",南大井シルバーセンター,東京都品川区南大井3-7-13,35.591828,139.734301,"","","","","",""
南大井図書館,"",南大井図書館,東京都品川区南大井3-7-13,35.591828,139.734301,"","","","","",""
浜川幼稚園,"",浜川幼稚園,東京都品川区南大井4-3-14,35.597783,139.736584,"","","","","",""
浜川小学校,"",浜川小学校,東京都品川区南大井4-3-27,35.59828,139.736203,"","","","","",""
鈴ケ森小学校,"",鈴ケ森小学校,東京都品川区南大井4-16-2,35.594478,139.735242,"","","","","",""
月見橋の家(在宅サービスセンター）,"",月見橋の家(在宅サービスセンター）,東京都品川区南大井5-2-17,35.600624,139.734903,"","","","","",""
水神児童センター,"",水神児童センター,東京都品川区南大井5-13-19,35.595456,139.733934,"","","","","",""
南大井在宅サービスセンター,"",南大井在宅サービスセンター,東京都品川区南大井5-19-1,35.594658,139.733978,"","","","","",""
水神保育園,"",水神保育園,東京都品川区南大井6-2-15,35.592789,139.732892,"","","","","",""
城南小学校,"",城南小学校,東京都品川区南品川2-8-21,35.613329,139.742746,"","","","","",""
城南幼稚園,"",城南幼稚園,東京都品川区南品川2-8-21,35.613329,139.742746,"","","","","",""
品川児童学園,"",品川児童学園,東京都品川区南品川3-7-7,35.607318,139.744769,"","","","","",""
高齢者住宅パレスガル,"",高齢者住宅パレスガル,東京都品川区南品川4-5-4,35.613976,139.738613,"","","","","",""
南品川児童センター,"",南品川児童センター,東京都品川区南品川4-5-28,35.613489,139.738738,"","","","","",""
品川第二地域センター,"",品川第二地域センター,東京都品川区南品川5-3-20,35.611373,139.741288,"","","","","",""
南品川シルバーセンター,"",南品川シルバーセンター,東京都品川区南品川5-10-3,35.610215,139.739836,"","","","","",""
浅間台小学校,"",浅間台小学校,東京都品川区南品川6-8-8,35.611484,139.736494,"","","","","",""
八潮北公園クラブハウス,"",八潮北公園クラブハウス,東京都品川区八潮1-3-1,35.612485,139.753759,"","","","","",""
品川区資源化センター,"",品川区資源化センター,東京都品川区八潮1-4-1 ,35.607941,139.753221,"","","","","",""
かえで荘,"",かえで荘,東京都品川区八潮5-1-1 ,35.605155,139.752435,"","","","","",""
八潮北保育園,"",八潮北保育園,東京都品川区八潮5-1-3,35.604769,139.753232,"","","","","",""
マイスクール八潮,"",マイスクール八潮,東京都品川区八潮5-2-1,35.603872,139.753107,"","","","","",""
重症心身障害者通所施設ピッコロ,"",重症心身障害者通所施設ピッコロ,東京都品川区八潮5-3-8,35.6032,139.751932,"","","","","",""
八潮西保育園,"",八潮西保育園,東京都品川区八潮5-4-16,35.601633,139.751313,"","","","","",""
八潮わかば幼稚園,"",八潮わかば幼稚園,東京都品川区八潮5-6-32,35.596631,139.749911,"","","","","",""
八潮南保育園,"",八潮南保育園,東京都品川区八潮5-8-41,35.596614,139.752127,"","","","","",""
八潮南特別養護老人ホーム,"",八潮南特別養護老人ホーム,東京都品川区八潮5-9-2,35.598721,139.75267,"","","","","",""
こみゅにてぃぷらざ八潮,"",こみゅにてぃぷらざ八潮,東京都品川区八潮5-9-11,35.5982,139.752355,"","","","","",""
八潮図書館,"",八潮図書館,東京都品川区八潮5-10-27,35.600153,139.751255,"","","","","",""
八潮地域センター,"",八潮地域センター,東京都品川区八潮5-10-27,35.600153,139.751255,"","","","","",""
八潮学園,"",八潮学園,東京都品川区八潮5-11-2,35.601392,139.75253,"","","","","",""
ゆたか図書館,"",ゆたか図書館,東京都品川区豊町1-17-7,35.611592,139.722362,"","","","","",""
ゆたか児童センター,"",ゆたか児童センター,東京都品川区豊町1-18-15,35.611534,139.722706,"","","","","",""
戸越体育館,"",戸越体育館,東京都品川区豊町2-1-17,35.61084,139.72059,"","","","","",""
戸越小学校,"",戸越小学校,東京都品川区豊町2-1-20,35.610762,139.720973,"","","","","",""
ゆたかシルバーセンター,"",ゆたかシルバーセンター,東京都品川区豊町3-2-15,35.608337,139.719606,"","","","","",""
南ゆたか児童センター,"",南ゆたか児童センター,東京都品川区豊町4-17-21,35.606479,139.720915,"","","","","",""
旧杜松小学校,"",旧杜松小学校,東京都品川区豊町4-24-15,35.606135,139.722764,"","","","","",""
